easting(Km) northing(Km)  Initial_Potential  Cumulative_Production              
406.783   4213.887  84   70
403.835   4199.018  119  93
403.909   4201.558  74   44
404.269   4208.267  47   106
392.995   4207.486  119  61
407.593   4215.697  169  81
391.536   4202.123  516  110
391.418   4213.089  47   87
395.052   4197.461  127  38
396.823   4207.526  237  54
402.349   4199.690  188  75
394.924   4194.322  169  25
408.975   4215.349  119  111
401.575   4195.205  133  90
393.917   4216.963  103  40
399.398   4193.400  188  103
393.090   4199.295  103  57
407.398   4205.457  178  79
398.123   4214.556  146  28
394.630   4193.316  146  108
397.479   4214.986  112  63
391.151   4209.453  169  84
394.013   4214.897  84   35
392.466   4196.662  223  98
399.508   4198.803  353  72
396.234   4211.595  103  22
411.647   4213.444  112  68
392.687   4202.130  793  41
399.159   4212.490  46   57
396.924   4198.758  146  29
397.487   4212.156  372  65
391.394   4203.302  119  36
405.050   4212.020  52   50
393.376   4215.172  84   22
397.402   4199.728  292  67
403.682   4204.646  58   38
407.527   4194.326  133  55
396.640   4193.690  179  25
403.091   4194.743  265  61
395.839   4194.310  58   33
407.029   4218.534  23   5
405.194   4207.791  146  42
402.837   4219.260  246  30
395.406   4216.089  103  36
410.488   4208.563  58   23
392.150   4207.353  127  39
404.620   4199.230  145  26
411.153   4209.155  55   33
394.090   4212.066  45   9
397.167   4213.880  47   30
404.561   4195.625  67   23
403.196   4205.129  119  27
400.159   4193.058  119  13
395.511   4215.388  76   24
398.605   4213.108  39   15
397.330   4212.902  60   17
403.011   4199.205  133  17
404.408   4198.334  214  112
399.335   4204.021  267  162
401.828   4202.371  94   70
405.666   4209.106  168  196
396.308   4200.108  178  92
403.509   4208.620  271  132
393.350   4206.439  188  44
395.097   4213.274  291  211
392.173   4213.079  119  105
396.731   4199.470  237  144
391.765   4220.043  103  173
406.414   4209.264  133  81
405.551   4208.264  111  118
404.083   4199.891  103  31
401.257   4195.875  197  151
408.486   4219.460  36   66
403.002   4208.072  189  186
404.851   4218.980  37   38
397.042   4211.607  959  200
405.289   4217.499  84   100
403.870   4212.445  168  138
405.332   4210.641  30   53
391.093   4195.227  622  164
394.250   4194.575  536  75
400.734   4220.040  133  95
409.870   4211.466  56   24
409.342   4210.518  119  158
402.998   4212.155  103  68
401.693   4210.185  706  190
403.065   4207.416  251  130
404.534   4195.625  119  40
402.778   4209.850  325  208
410.780   4213.598  103  103
399.208   4205.798  381  141
394.679   4199.874  337  56
397.404   4208.284  361  167
394.296   4196.760  179  79
407.070   4211.387  168  115
396.940   4194.496  75   28
392.296   4201.092  146  218
400.625   4195.239  168  108
390.692   4199.416  39   63
406.155   4212.751  173  84
397.844   4192.898  381  122
397.819   4213.428  103  35
393.973   4198.951  133  116
397.057   4215.580  202  49
398.934   4202.140  119  113
401.918   4211.369  197  96
396.192   4214.503  188  74
394.161   4218.191  133  72
401.368   4213.773  60   46
410.447   4210.417  140  21
404.685   4210.071  222  229
398.300   4194.246  528  397
398.994   4192.684  146  112
398.588   4215.993  211  161
398.070   4194.771  345  272
406.838   4204.864  178  70
400.220   4200.182  303  193
396.912   4214.561  245  92
395.554   4214.012  440  478
402.589   4208.731  344  132
395.006   4210.967  929  215
395.962   4207.481  325  42
397.766   4204.285  385  353
402.629   4211.383  375  104
402.469   4214.082  735  540
403.607   4198.288  230  144
400.402   4199.247  1660 254
402.460   4212.595  158  58
390.505   4215.643  146  284
404.650   4203.314  219  81
394.550   4208.276  619  196
401.228   4206.573  403  117
401.825   4208.729  278  107
402.656   4206.966  169  31
404.194   4204.074  103  222
399.397   4207.571  438  576
393.923   4209.361  173  66
403.749   4208.096  188  185
395.580   4205.711  1580 295
404.400   4219.452  146  86
390.489   4203.991  278  125
407.239   4196.870  84   37
410.999   4215.160  219  447
397.024   4211.618  246  138
396.212   4205.026  248  51
396.863   4205.761  808  410
401.688   4200.208  265  198
398.274   4206.254  179  323
405.081   4202.565  75   99
399.798   4200.908  207  75
392.512   4220.133  242  165
402.409   4210.598  303  164
395.641   4211.869  348  61
406.928   4201.246  24   24
409.931   4217.746  321  226
406.356   4216.433  808  379
394.938   4206.318  446  154
396.747   4197.328  179  68
391.320   4201.061  179  1222
407.521   4214.744  304  189
399.723   4209.088  351  302
403.214   4210.333  411  90
398.383   4200.160  603  418
397.415   4216.818  103  128
398.942   4195.603  278  178
409.103   4211.131  188  207
400.838   4210.539  278  343
406.805   4205.863  94   102
407.027   4216.092  2424 503
395.185   4216.680  189  141
404.196   4197.515  394  246
396.229   4198.067  146  56
393.889   4212.757  168  78
397.519   4194.345  255  167
402.275   4194.897  188  136
403.290   4209.344  325  115
395.040   4207.438  258  83
395.771   4195.210  158  27
409.518   4215.276  327  181
402.787   4216.530  133  250
397.012   4193.219  117  83
408.250   4210.153  84   121
396.434   4210.017  146  35
395.270   4195.905  2901 265
393.870   4197.809  730  149
393.288   4213.142  304  240
394.933   4198.395  63   63
402.227   4206.383  112  259
397.249   4198.055  273  108
406.146   4215.714  1161 234
401.520   4205.981  298  130
398.219   4216.641  77   115
396.284   4217.609  184  123
404.945   4211.256  168  49
402.847   4204.600  215  126
403.934   4211.123  111  96
400.906   4194.436  206  119
403.547   4211.760  265  113
405.709   4212.046  146  80
403.679   4205.844  188  74
406.038   4217.757  223  77
395.929   4197.228  103  71
403.796   4203.168  168  51
405.733   4198.141  73   46
393.156   4214.431  33   34
395.571   4199.485  133  21
396.482   4208.274  1164 228
405.793   4217.050  793  394
398.509   4209.647  389  669
398.579   4204.685  303  160
401.895   4207.253  263  272
402.310   4200.800  140  69
409.508   4214.367  223  190
403.352   4219.797  381  310
409.327   4213.925  246  375
391.818   4194.862  223  91
397.523   4214.997  206  219
400.298   4210.179  319  110
400.240   4194.666  119  42
398.220   4195.557  308  210
400.449   4208.224  492  351
405.150   4216.824  692  619
400.351   4208.825  278  104
409.877   4218.391  794  358
399.286   4205.032  366  254
406.218   4208.256  298  153
396.280   4215.201  119  58
409.471   4218.972  1400 1574
391.604   4193.955  412  283
393.218   4212.466  278  265
401.531   4204.028  189  81
401.046   4211.080  470  169
390.663   4193.956  2531 681
393.181   4200.881  145  208
396.532   4206.664  126  117
408.073   4193.643  284  201
407.837   4213.264  211  196
392.726   4213.072  119  108
393.347   4196.795  207  106
404.885   4197.064  197  67
403.136   4200.069  84   31
411.164   4214.248  189  109
404.999   4208.381  230  221
391.127   4194.483  660  574
400.778   4209.996  395  150
398.315   4208.140  737  558
401.145   4208.416  330  188
397.027   4195.760  169  65
401.398   4209.667  178  184
397.653   4209.258  1230 301
397.595   4210.901  119  85
